Old Spice | NFL | Deliverables Doc,,,,,,,,,,
ISCIs + Deliverables,,,,,,,,,,
Date Document Updated:,8/12/25,Uploaded/ Passed QC,SHIPPED,,,,,,,
Total Deliverables: ,106,In Progress,,,,,,,,
WK Production Job #: ,OLDPNAMV1033,Changed/New,,,,,,,,
,,, ,,,,,,,
,,,,,,,,,,
BROADCAST NTSC Masters: (16:9),,,,,,,,,,
,7/15,8/1,PGOC5443000H,NFL_Product Training_DEO_CAPS_NA_WEB_4x5_HD_15,WEB,Burned-In Subtitles,,,,
,7/15,8/1,PGOC5444000H,NFL_Product Training_DEO_NA_WEB_4x5_Generic_HD_15,WEB,,,,,
,,,,,,,,,,
,7/15,8/1,PGOC5445000H,NFL_Smells Like Football_DEO_NA_WEB_4x5_HD_06,WEB,,,,,
,7/15,8/1,PGOC5446000H,NFL_Smells Like Football_DEO_CAPS_NA_WEB_4x5_HD_06,WEB,Burned-In Subtitles,,,,
,7/15,8/1,PGOC5447000H,NFL_Smells Like Football_DEO_NA_WEB_4x5_Generic_HD_06,WEB,,,,,
,,,,,,,,,,
,7/15,8/1,PGOC5448000H,NFL_Presenting Coaching_DEO_Product_NA_WEB_4x5_HD_06,WEB,,,,,
,7/15,8/1,PGOC5449000H,NFL_Presenting Coaching_DEO_Product_CAPS_NA_WEB_4x5_HD_06,WEB,Burned-In Subtitles,,,,
,7/15,8/1,PGOC5450000H,NFL_Presenting Coaching_DEO_Product_NA_WEB_4x5_Generic_HD_06,WEB,,,,,
,,,,,,,,,,
,10/24,TBD,PGOC5656000H,NFL_EagleScream_DEO_NA_WEB_4x5_HD_15,WEB,,,,,
,10/24,TBD,PGOC5657000H,NFL_EagleScream_DEO_CAPS_NA_WEB_4x5_HD_15,WEB,Burned-In Subtitles,,,,
,10/24,TBD,PGOC5658000H,NFL_EagleScream_DEO_NA_WEB_4x5_Generic_HD_15,WEB,,,,,
,,,,,,,,,,
,9/19,9/30,PGOC5659000H,NFL_Soar_DEO_NA_WEB_4x5_HD_06,WEB,,,,,
,9/19,9/30,PGOC5660000H,NFL_Soar_DEO_CAPS_NA_WEB_4x5_HD_06,WEB,Burned-In Subtitles,,,,
,9/19,9/30,PGOC5661000H,NFL_Soar_DEO_NA_WEB_4x5_Generic_HD_06,WEB,,,,,
,,,,,,,,,,
,9/19,TBD,PGOC5662000H,NFL_Highlight_DEO_NA_WEB_4x5_HD_06,WEB,,,,,
,9/19,TBD,PGOC5663000H,NFL_Highlight_DEO_CAPS_NA_WEB_4x5_HD_06,WEB,Burned-In Subtitles,,,,
,9/19,TBD,PGOC5664000H,NFL_Highlight_DEO_NA_WEB_4x5_Generic_HD_06,WEB,,,,,
,,,,,,,,,,
,10/24,TBD,PGOC5684000H,NFL_BigManTackles_DEO_NA_WEB_4x5_HD_15,WEB,,,,,
,10/24,TBD,PGOC5685000H,NFL_BigManTackles_DEO_CAPS_NA_WEB_4x5_HD_15,WEB,Burned-In Subtitles,,,,
,10/24,TBD,PGOC5686000H,NFL_BigManTackles_DEO_NA_WEB_4x5_Generic_HD_15,WEB,,,,,
,,,,,,,,,,
,10/24,TBD,PGOC5687000H,NFL_Space_DEO_NA_WEB_4x5_HD_15,WEB,,,,,
,10/24,TBD,PGOC5688000H,NFL_Space_DEO_CAPS_NA_WEB_4x5_HD_15,WEB,Burned-In Subtitles,,,,
,10/24,TBD,PGOC5689000H,NFL_Space_DEO_NA_WEB_4x5_Generic_HD_15,WEB,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
DIGITAL Masters 1080x1920 Stories (9:16):,,,,,,,,,,
Channel,Ship Date:,Live Date:,ISCIs + Titles,,,Notes:,End Date:,End Card Details:,SPECS / SLATE INFO:,DELIVER TO:
WEB MIX,7/18,8/1,PGOC5451000H,NFL_Smell Like a Footballman_DEO_NA_WEB_9x16_HD_30,WEB,,,n/a,NTSC 23.98 FPS,Tylie
,7/18,8/1,PGOC5452000H,NFL_Smell Like a Footballman_DEO_CAPS_NA_WEB_9x16_HD_30,WEB,Burned-In Subtitles,,,Apple ProRes - QT,
,7/18,8/1,PGOC5453000H,NFL_Smell Like a Footballman_DEO_NA_WEB_9x16_Generic_HD_30,WEB,,,Clean,1080x1920,
,,,,,,,,,NO SIZE RESTRICTION,
,7/15,8/1,PGOC5454000H,NFL_Look Down Coaching_DEO_NA_WEB_9x16_HD_15,WEB,,,,,
,7/15,8/1,PGOC5455000H,NFL_Look Down Coaching_DEO_CAPS_NA_WEB_9x16_HD_15,WEB,Burned-In Subtitles,,,See IG / TT safe zones > ,
,7/15,8/1,PGOC5456000H,NFL_Look Down Coaching_DEO_NA_WEB_9x16_Generic_HD_15,WEB,,,,,
,,,,,,,,,,
,7/15,8/1,PGOC5457000H,NFL_Product Training_DEO_NA_WEB_9x16_HD_15,WEB,,,,,
,7/15,8/1,PGOC5458000H,NFL_Product Training_DEO_CAPS_NA_WEB_9x16_HD_15,WEB,Burned-In Subtitles,,,,
,7/15,8/1,PGOC5459000H,NFL_Product Training_DEO_NA_WEB_9x16_Generic_HD_15,WEB,,,,,
,,,,,,,,,,
,7/15,8/1,PGOC5460000H,NFL_Smells Like Football_DEO_NA_WEB_9x16_HD_06,WEB,,,,,
,7/15,8/1,PGOC5461000H,NFL_Smells Like Football_DEO_CAPS_NA_WEB_9x16_HD_06,WEB,Burned-In Subtitles,,,,
,7/15,8/1,PGOC5462000H,NFL_Smells Like Football_DEO_NA_WEB_9x16_Generic_HD_06,WEB,,,,,
,,,,,,,,,,
