Nike || CAA - MLB Playoffs || *WIP* Deliverables Document ,,,,,,,
ISCIs + Deliverables,,,,,,,
Date Document Updated:,10/7/25,SHIPPED,Reship,,,,
,10/6,ZWAK1364625H,Nike CAA MLB 2688x1000 WEB 30 HD Generic,TRUE,clean,Apple ProRes - QT,
,,,,,,2688x1000,
,10/9,ZWAK1364744H,Nike CAA MLB 2688x1000 WEB 60 HD Titled,FALSE,N/a,NO SIZE RESTRICTION,
,10/9,ZWAK1364745H,Nike CAA MLB 2688x1000 WEB 60 HD Generic,FALSE,clean,,
,,,,,,,
DIGITAL Masters 750x1000: (WEB MIX) Mobile,,,,,,,
Channel,Ship Date:,ISCIs + Titles,,UPLOADED TO ER,End Card,SPECS / SLATE INFO:,DELIVER TO:
WEB MIX,10/6,ZWAK1364626H,Nike CAA MLB 750x1000 WEB 30 HD Titled,TRUE,N/a,NTSC 23.98fr,Extreme Reach 
,10/6,ZWAK1364628H,Nike CAA MLB 750x1000 WEB 30 HD Generic,TRUE,clean,Apple ProRes - QT,
,,,,,,750x1000,
,10/9,ZWAK1364746H,Nike CAA MLB 750x1000 WEB 60 HD Titled,FALSE,N/a,NO SIZE RESTRICTION,
,10/9,ZWAK1364747H,Nike CAA MLB 750x1000 WEB 60 HD Generic,FALSE,clean,,
,,,,,,,
,,,,,,,
Needed Source Files,,,,,,,
,,,,,,,
,,,1- COMPLETE MIX DELIVERED AS 0db and -3db AS APPLICABLE,,,,
,,,,,,,
,,,"1- SET OF SPLITS (Dialogue, Music, Ambience, Effects as applicable)",,,,
,,,,,,,
,,"1- SET OF LAYERED PSD FILES OF ALL SUPERS LOCK-UP, AND SWOOSH AS EDITABLE TEXT LAYER (FOR TRANSLATIONS)",,,,,
,,,,,,,
,,,1- After Effects Graphics Package (as necessary if supers as built in AE),,,,
,,,,,,,
,,,1- 1x IMAGE THUMBNAIL IN 2x SIZE: JPG 16:9 1920x1080 / 1:1 1080x1080,,,,
